,Candidate,Party,Votes,Constituency
867,PATNAM MAHENDER REDDY,Telangana Rashtra Samithi,67553,Telangana - Tandur
868,PATEL RAVISHANKER,Bharatiya Janata Party,10548,Telangana - Tandur
869,P.MAHENDAR REDDY,Samajwadi Forward Bloc,2608,Telangana - Tandur
870,B.CHANDRA SHEKAR MUDIRAJ,Bahujan Samaj Party,1182,Telangana - Tandur
871,MARRI ADITHYA REDDY,Independent,651,Telangana - Tandur
872,MANYA NAIK,Independent,639,Telangana - Tandur
873,SRI GOPAL CHILUKA,Independent,632,Telangana - Tandur
874,DANAM LAXMAN,Bahujana Raajyam Party (Phule Ambedkar),601,Telangana - Tandur
875,A.SRISHAILAM,Independent,401,Telangana - Tandur
876,VARTHYA RAVI NAIK,Bahujan Mukti Party,211,Telangana - Tandur
877,MAROJU SUNEEL KUMAR,Bahujana Left Party,195,Telangana - Tandur
878,None of the Above,None of the Above,787,Telangana - Tandur
879,MUTA GOPAL,Telangana Rashtra Samithi,72997,Telangana - Musheerabad
880,ANIL KUMAR YADAV M,Indian National Congress,36087,Telangana - Musheerabad
881,DR. K. LAXMAN,Bharatiya Janata Party,30813,Telangana - Musheerabad
882,POOSA PRADEEP KUMAR,Bahujan Samaj Party,442,Telangana - Musheerabad
883,BATHULA SARASWATI,Pyramid Party of India,294,Telangana - Musheerabad
884,SRINIVAS MYLAVARAPU,Telugu Congress Party,271,Telangana - Musheerabad
885,KONGARA GANGADHARA RAO,Independent,243,Telangana - Musheerabad
886,B. RAM MOHAN REDDY,Telangana Yuva Shakti,203,Telangana - Musheerabad
887,ARSHIA AMERA KHATOON,Ambedkar National Congress,166,Telangana - Musheerabad
888,CHANDU BETLA,Yuva Party,147,Telangana - Musheerabad
889,G. RAJ KUMAR,India Praja Bandhu Party,146,Telangana - Musheerabad
890,M PADMA,Independent,135,Telangana - Musheerabad
891,DR. P. VIJAYENDER,Independent,128,Telangana - Musheerabad
892,ANANDA T,Republican Party of India (A),124,Telangana - Musheerabad
893,GURRAM MADHUSUDHAN,Independent,119,Telangana - Musheerabad
894,KOPPALLY RAMESH,Dalita Bahujana Party,102,Telangana - Musheerabad
895,MERAJ FATHIMA BANU,Anna YSR Congress Party,100,Telangana - Musheerabad
896,MERCY MARGARET,Independent,80,Telangana - Musheerabad
897,MOHAMMED MAHABOOB ALI,New India Party,77,Telangana - Musheerabad
898,PRAVEEN KUMAR CHETHALA,Bahujana Rashtra Samithi,76,Telangana - Musheerabad
899,KARANKOTE NARENDER,All India Forward Bloc,76,Telangana - Musheerabad
900,THUMMALA PRAFUL RAM REDDY,Independent,64,Telangana - Musheerabad
901,GERA JOHN SUNDER RAO,Independent,59,Telangana - Musheerabad
902,TANGIRLA VENKAPPA SOMAYAJULU,Independent,53,Telangana - Musheerabad
903,MOHD ATHER NAWAB,Jana Vaahini Party,53,Telangana - Musheerabad
904,HARAK BAHADUR CHETTRI,Hindu Ekta Andolan Party,51,Telangana - Musheerabad
905,None of the Above,None of the Above,1664,Telangana - Musheerabad
906,AHMED BIN ABDULLAH BALALA,All India Majlis-E-Ittehadul Muslimeen,53281,Telangana - Malakpet
907,MOHAMMED MUZAFFAR ALI KHAN,Telugu Desam,29769,Telangana - Malakpet
908,ALE JEETENDRA,Bharatiya Janata Party,20880,Telangana - Malakpet
909,C SATISH KUMAR,Telangana Rashtra Samithi,17103,Telangana - Malakpet
910,PAVAN KUMAR SHARMA,Akhil Bharatiya Jan Sangh,614,Telangana - Malakpet
911,MANIK RAO. P,Independent,221,Telangana - Malakpet
912,L. ASHOK NATH,Independent,196,Telangana - Malakpet
913,J. ASHOK,Independent,155,Telangana - Malakpet
914,HANUMANTH RAO,Lok Satta Party,146,Telangana - Malakpet
915,C. JANARDHAN,Janata Dal  (Secular),126,Telangana - Malakpet
916,P. SAYI LAXMI,Jatiya Mahila Party,124,Telangana - Malakpet
917,SYED ANWAR,Anna YSR Congress Party,118,Telangana - Malakpet
918,PODILA. VENKATA RAMANA,Bahujana Left Party,117,Telangana - Malakpet
919,SHEEMARLA CHINNA LINGAM,Aam Aadmi Party,100,Telangana - Malakpet
920,SYED ALI RAJ MOHAMMED,Rashtriya Janata Dal,89,Telangana - Malakpet
921,S. VENKATADRI CHARY,Loktantrik Sarvjan Samaj Party,84,Telangana - Malakpet
922,SAPPIDI GOPAL,Independent,80,Telangana - Malakpet
923,ALGOLA RAMESH,Independent,80,Telangana - Malakpet
924,SAMI ULLAH SHAREEF,Independent,59,Telangana - Malakpet
925,MD. SHABBIR ALI KHAN,Independent,53,Telangana - Malakpet
926,None of the Above,None of the Above,920,Telangana - Malakpet
927,KALERU  VENKATESHAM,Telangana Rashtra Samithi,61558,Telangana - Amberpet  
928,G.KISHAN REDDY,Bharatiya Janata Party,60542,Telangana - Amberpet  
929,NIJJANA RAMESH,Telangana Jana Samithi,4261,Telangana - Amberpet  
930,GADAPA SREEHARI GANGAPUTRA,Bahujana Left Party,1302,Telangana - Amberpet  
931,BATHULA RAVI,Independent,1052,Telangana - Amberpet  
932,KUSURU RAJPAL YADAV,Bahujan Samaj Party,605,Telangana - Amberpet  
933,RAMYA,Jatiya Mahila Party,541,Telangana - Amberpet  
934,KATTELA SUBHASH,Prajaa Swaraaj Party,454,Telangana - Amberpet  
935,A. MUJAHED,India Praja Bandhu Party,350,Telangana - Amberpet  
936,K. RAJA GOPAL NAIDU,Telangana Prajala Party,229,Telangana - Amberpet  
937,SHYAM RAO MERU,Independent,180,Telangana - Amberpet  
938,V.K. UPENDRA,Pyramid Party of India,164,Telangana - Amberpet  
939,M. DAYANAND SWAMY,Aam Aadmi Party,147,Telangana - Amberpet  
940,S. NARSIMHA REDDY,Independent,146,Telangana - Amberpet  
941,IMRAN MOHAMMED,New India Party,142,Telangana - Amberpet  
942,SAI VINAY SINGH,Republican Party of India (A),136,Telangana - Amberpet  
943,A.SUDARSHAN GANGAPUTRA,Shiv Sena,125,Telangana - Amberpet  
944,K. NAVEEN,Telangana Labour Party,108,Telangana - Amberpet  
945,GUNDRATHI SHARADA GOUD,Independent,98,Telangana - Amberpet  
946,MD. ISMAIL,Independent,88,Telangana - Amberpet  
947,TEEGA SATYANARAYANA MUDIRAJ,Bharatiya Republican Paksha,85,Telangana - Amberpet  
948,AASHISH PRAKASH,Independent,83,Telangana - Amberpet  
949,KAPISTHALAM DEVANATH,Nava Samaj Party,82,Telangana - Amberpet  
950,KESHAPAGA BALMUKUND,All India Forward Bloc,81,Telangana - Amberpet  
951,CHANDU BETLA,Yuva Party,80,Telangana - Amberpet  
952,VARIKUPPALA SAHADEV,Independent,71,Telangana - Amberpet  
953,PONNAPATI CHINNA LINGANNA,Independent,69,Telangana - Amberpet  
954,KOMIRI SATYAM,Independent,55,Telangana - Amberpet  
955,BOIE RAMANA,Independent,55,Telangana - Amberpet  
956,DEEPAK KUMAR B,Peoples Republican Party,45,Telangana - Amberpet  
957,K. SHYAM,Independent,43,Telangana - Amberpet  
958,None of the Above,None of the Above,1462,Telangana - Amberpet  
959,DANAM NAGENDER,Telangana Rashtra Samithi,63068,Telangana - Khairatabad
960,CHINTALA RAMA CHANDRA REDDY,Bharatiya Janata Party,34666,Telangana - Khairatabad
961,DASOJU SRAVAN KUMAR,Indian National Congress,33549,Telangana - Khairatabad
962,GOVERDHAN REDDY MANNE,Bahujan Samaj Party,4287,Telangana - Khairatabad
963,BANDELA KRANTHI KUMAR,Samajwadi Forward Bloc,1152,Telangana - Khairatabad
964,MOHD MAJID,Aam Aadmi Party,459,Telangana - Khairatabad
965,SHABAD RAMESH,Independent,384,Telangana - Khairatabad
966,E HEMALATHA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),354,Telangana - Khairatabad
967,K. YADAGIRI,Bahujana Left Party,226,Telangana - Khairatabad
968,VAIDYA PRAVEEN KUMAR,Nationalist Congress Party,180,Telangana - Khairatabad
969,DR. MOHD. SHAFI UR RAHMAN,Samajwadi Party,164,Telangana - Khairatabad
970,SYED HABEEB PASHA QUADRI,Loktantrik Sarvjan Samaj Party,157,Telangana - Khairatabad
971,MOHAMMED AYUB,Akhil Bharatiya Muslim League (Secular),120,Telangana - Khairatabad
972,SYED MUJEEB RAOOF,Majlis Markaz-e-Siyasee Party,119,Telangana - Khairatabad
973,KUTHATI VIJAYA,Independent,114,Telangana - Khairatabad
974,R.S. RANJEET KUMAR,Independent,110,Telangana - Khairatabad
975,P. DANA LAXMI,Jatiya Mahila Party,99,Telangana - Khairatabad
976,SYED AKTHER HUSSAIN,Independent,98,Telangana - Khairatabad
977,K. NARESH KUMAR,Independent,86,Telangana - Khairatabad
978,K. NAVEEN KUMAR,Independent,77,Telangana - Khairatabad
979,P. JANAKI,Ambedkar National Congress,75,Telangana - Khairatabad
980,MIDDE KRISHNA,Independent,74,Telangana - Khairatabad
981,MOHD LATEEFUDDIN,Independent,73,Telangana - Khairatabad
982,PAUL SATYANADHAN DAVID,Bahujana Rashtra Samithi,67,Telangana - Khairatabad
983,GOWLIKAR AMRITH RAJ,New India Party,66,Telangana - Khairatabad
984,M.A. AMJAD,Samaikyandhra Parirakshana Samithi,59,Telangana - Khairatabad
985,GAJJELA RAMESH KUMAR,Independent,52,Telangana - Khairatabad
986,M.D. MOIZ ALI,Independent,50,Telangana - Khairatabad
987,P. GOVIND RAJ,Independent,49,Telangana - Khairatabad
988,MOHAMMED KHAJA,Independent,42,Telangana - Khairatabad
989,M. KALYANA RAMA KRISHNA,Nava Bharat National Party,40,Telangana - Khairatabad
990,MOHAMMED AZIZUDDIN AHMED,Independent,34,Telangana - Khairatabad
991,None of the Above,None of the Above,1371,Telangana - Khairatabad
992,MAGANTI GOPINATH,Telangana Rashtra Samithi,68979,Telangana - Jubilee Hills
993,P.VISHNUVARDHAN REDDY,Indian National Congress,52975,Telangana - Jubilee Hills
994,NAVEEN YADAV .V,Independent,18817,Telangana - Jubilee Hills
995,RAVULA SRIDHAR REDDY,Bharatiya Janata Party,8517,Telangana - Jubilee Hills
996,GONTI SREEKANTH,Samaikyandhra Parirakshana Samithi,1626,Telangana - Jubilee Hills
997,MOHAMMED MERAJ KHAN,Bahujan Samaj Party,478,Telangana - Jubilee Hills
998,ANJI BABU YADAV PEDDALA,Bahujana Left Party,423,Telangana - Jubilee Hills
999,SYED MOHAMMED HUSSAIN,Independent,342,Telangana - Jubilee Hills
1000,B.SUSEEL KUMAR,Prajaa Swaraaj Party,299,Telangana - Jubilee Hills
1001,SYED MEHRAJ ALI,Independent,263,Telangana - Jubilee Hills
1002,L. K. SURENDER,Independent,251,Telangana - Jubilee Hills
1003,DERANGULA RAMACHANDRA RAO,Independent,243,Telangana - Jubilee Hills
1004,SAMPATH KUMAR DEVULAPALLY,Independent,239,Telangana - Jubilee Hills
1005,MOHD MAHBOOB ALAM,Independent,194,Telangana - Jubilee Hills
1006,SYED SALAUDDIN,Aam Aadmi Party,187,Telangana - Jubilee Hills
1007,SYED KHURSHEED,Independent,128,Telangana - Jubilee Hills
1008,MOHAMMED ZAKIUDDIN,Majlis Markaz-e-Siyasee Party,126,Telangana - Jubilee Hills
1009,SHAIK GHOUSE PASHA,New India Party,61,Telangana - Jubilee Hills
1010,None of the Above,None of the Above,1547,Telangana - Jubilee Hills
1011,TALASANI SRINIVAS YADAV,Telangana Rashtra Samithi,66464,Telangana - Sanath Nagar
1012,KUNA VENKATESH GOUD,Telugu Desam,35813,Telangana - Sanath Nagar
1013,BHAWARLAL VARMA,Bharatiya Janata Party,14247,Telangana - Sanath Nagar
1014,HARIKA,Prajaa Swaraaj Party,384,Telangana - Sanath Nagar
1015,S.SANJEEVA CHARY,Bahujan Samaj Party,265,Telangana - Sanath Nagar
1016,DEVENDAR KONNE,Independent,200,Telangana - Sanath Nagar
1017,PATLOLLA VENKAT REDDY,Pyramid Party of India,195,Telangana - Sanath Nagar
1018,MOHAMMED NAZEERUDDIN QUADRI,Ambedkar National Congress,142,Telangana - Sanath Nagar
1019,A.SRINIVAS,Independent,96,Telangana - Sanath Nagar
1020,RANJIT KUMAR SANGISHETTY,Shiv Sena,87,Telangana - Sanath Nagar
1021,PALUVAYI PRAKASA RAO,Independent,82,Telangana - Sanath Nagar
1022,G.PUNEEL KIRAN,Jai Swaraj Party,81,Telangana - Sanath Nagar
1023,SYED KHADER,Majlis Markaz-e-Siyasee Party,79,Telangana - Sanath Nagar
1024,ASHOK KUMAR MUNIKUNTLA,Bahujana Rashtra Samithi,66,Telangana - Sanath Nagar
1025,NANDIPATI VINOD KUMAR,India Praja Bandhu Party,57,Telangana - Sanath Nagar
1026,None of the Above,None of the Above,1464,Telangana - Sanath Nagar
1027,JAFFAR HUSSAIN,All India Majlis-E-Ittehadul Muslimeen,57940,Telangana - Nampalli
1028,MOHAMMED FEROZ KHAN,Indian National Congress,48265,Telangana - Nampalli
1029,CH.ANAND KUMAR GOUD,Telangana Rashtra Samithi,17015,Telangana - Nampalli
1030,DEVARA KARUNAKAR,Bharatiya Janata Party,11622,Telangana - Nampalli
1031,N.K.M.LAXMI KUMAR,Communist Party of India  (Marxist),400,Telangana - Nampalli
1032,MOHAMMAD IMRAN,Independent,340,Telangana - Nampalli
1033,MASOOD AHMED,Independent,218,Telangana - Nampalli
1034,MOHAMMED ABDUL WASEEM,Independent,191,Telangana - Nampalli
1035,T.VIJAY KUMAR,Bahujan Samaj Party,177,Telangana - Nampalli
1036,BOPPI GANESH,Pyramid Party of India,155,Telangana - Nampalli
1037,SALMAN HAFEEZ,Aam Aadmi Party,132,Telangana - Nampalli
1038,PRAVEEN KUMAR. A,Independent,131,Telangana - Nampalli
1039,GOPAL SAI BABA MEESALA,Independent,109,Telangana - Nampalli
1040,A.SHIVRAJ,Republican Party of India,97,Telangana - Nampalli
1041,AZEEM MOHD,Independent,88,Telangana - Nampalli
1042,AUNDEKER SANTOSH,Independent,82,Telangana - Nampalli
1043,MOHD. YOUSUF,Independent,82,Telangana - Nampalli
1044,DR. AHMED SYED,Republican Party of India (A),70,Telangana - Nampalli
1045,MOHAMMAD ABDUL KHADEER,Majlis Markaz-e-Siyasee Party,65,Telangana - Nampalli
1046,None of the Above,None of the Above,793,Telangana - Nampalli
1047,KAUSAR MOHIUDDIN,All India Majlis-E-Ittehadul Muslimeen,87586,Telangana - Karwan
1048,AMAR SINGH,Bharatiya Janata Party,37417,Telangana - Karwan
1049,T.JEEVAN SINGH,Telangana Rashtra Samithi,24699,Telangana - Karwan
1050,OSMAN BIN MOHAMMED AL HAJRI,Indian National Congress,11231,Telangana - Karwan
1051,MATANGI RAMESH KUMAR,Independent,722,Telangana - Karwan
1052,G. VITTAL,Bahujana Left Party,466,Telangana - Karwan
1053,SAYYAD RAHIMODDIN,Bahujan Samaj Party,363,Telangana - Karwan
1054,MOHAMMED IRFAN,Aam Aadmi Party,317,Telangana - Karwan
1055,RAVI KUMAR PURRA,Independent,294,Telangana - Karwan
1056,MOHAMMED LAIQ,Majlis Bachao Tahreek,253,Telangana - Karwan
1057,V. RAMESH,Shiv Sena,231,Telangana - Karwan
1058,V. NARSING RAO,Telangana Inti Party,200,Telangana - Karwan
1059,GEETHA THAKUR,Anarakshit Samaj Party,198,Telangana - Karwan
1060,DR. LUBNA SARWATH,Socialist Party (India),155,Telangana - Karwan
1061,FARHATH KHATIJA,Loktantrik Sarvjan Samaj Party,154,Telangana - Karwan
1062,MASURI RAJESH,India Praja Bandhu Party,139,Telangana - Karwan
1063,SATU JANGAIAH YADAV,Independent,134,Telangana - Karwan
1064,CHINNI RAKESH,New India Party,129,Telangana - Karwan
1065,None of the Above,None of the Above,938,Telangana - Karwan
1066,T. RAJA SINGH,Bharatiya Janata Party,61854,Telangana - Goshamahal
1067,PREM SINGH RATHORE,Telangana Rashtra Samithi,44120,Telangana - Goshamahal
1068,M.MUKESH GOUD,Indian National Congress,26322,Telangana - Goshamahal
1069,SURESH HASAJI,National Youth Party,443,Telangana - Goshamahal
1070,RAVI KUMAR JAIN,Independent,423,Telangana - Goshamahal
1071,K. SAI KUMAR,Bahujan Samaj Party,420,Telangana - Goshamahal
1072,SYED SIDDIQ AKBAR ALI,Democratic Party of India,364,Telangana - Goshamahal
1073,RIZWAN MOHAMMED BAKARMAN,Majlis Bachao Tahreek,268,Telangana - Goshamahal
1074,GHAN SHYAM DAS JOSHI,Samajwadi Party,260,Telangana - Goshamahal
1075,G.SAMBASHIVA RAO,Independent,214,Telangana - Goshamahal
1076,M. KRISHNA,Independent,180,Telangana - Goshamahal
1077,NARENDAR SINGH THAKUR,Independent,145,Telangana - Goshamahal
1078,M RAJESH,Bahujana Left Party,120,Telangana - Goshamahal
1079,MIR MOHD HUSSAIN,Aam Aadmi Party,112,Telangana - Goshamahal
1080,BHAJRANG SINGH,Anarakshit Samaj Party,109,Telangana - Goshamahal
1081,KHAJA KHAN,Akhil Bharatiya Muslim League (Secular),103,Telangana - Goshamahal
1082,RAJU NOUKADAWALE,Republican Party of India (A),102,Telangana - Goshamahal
1083,B. ABHIMANYU YADAV,Ambedkar National Congress,99,Telangana - Goshamahal
1084,VEENA SINGH,Independent,91,Telangana - Goshamahal
1085,M B CHANDAR,Shiv Sena,89,Telangana - Goshamahal
1086,SYED RIYAZUDDIN,Welfare Party Of India,88,Telangana - Goshamahal
1087,B YELLESH MADIGA,Bahujan Mukti Party,83,Telangana - Goshamahal
1088,B.V.RAMESH BABU,Independent,76,Telangana - Goshamahal
1089,SOMA THRINATH RAO,Independent,64,Telangana - Goshamahal
1090,MILIND RAJ SINGH,Independent,53,Telangana - Goshamahal
1091,None of the Above,None of the Above,709,Telangana - Goshamahal
1092,MUMTAZ AHMED KHAN,All India Majlis-E-Ittehadul Muslimeen,53808,Telangana - Charminar 
1093,T UMA MAHENDRA,Bharatiya Janata Party,21222,Telangana - Charminar 
1094,MOHD GHOUSE,Indian National Congress,16899,Telangana - Charminar 
1095,MOHAMMED SALAHUDDIN LODHI,Telangana Rashtra Samithi,6223,Telangana - Charminar 
1096,M A WAHAB,Independent,705,Telangana - Charminar 
1097,JUNAID ANAM SIDDIQUI,Independent,281,Telangana - Charminar 
1098,SANJAY KUMAR SHUKLA,Independent,210,Telangana - Charminar 
1099,MIR HASAN ALI RAZVI,Independent,170,Telangana - Charminar 
1100,CHITRA SAXENA,Bahujan Samaj Party,140,Telangana - Charminar 
1101,SHAIK ISMAIL,Bahujana Left Party,138,Telangana - Charminar 
1102,MOHD SHARFUDDIN,Aam Aadmi Party,126,Telangana - Charminar 
1103,MOHD SOHAIL,Independent,116,Telangana - Charminar 
1104,SHAIK MOIN,Independent,54,Telangana - Charminar 
1105,SUNITHA DHOTRE,Loktantrik Sarvjan Samaj Party,52,Telangana - Charminar 
1106,G.CHANDRA SHEKAR,Independent,46,Telangana - Charminar 
1107,PRAKASH DULGANDE,Independent,45,Telangana - Charminar 
1108,None of the Above,None of the Above,614,Telangana - Charminar 
1109,AKBARUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,95339,Telangana - Chandrayangutta 
1110,SHAHEJADI SAYYAD,Bharatiya Janata Party,15075,Telangana - Chandrayangutta 
1111,M. SEETHA RAM REDDY,Telangana Rashtra Samithi,14224,Telangana - Chandrayangutta 
1112,ESA BIN OBAID MISRI,Indian National Congress,11309,Telangana - Chandrayangutta 
1113,MOHAMMED ABDULLAH BAIG,Independent,834,Telangana - Chandrayangutta 
1114,MOHD. HAJI,Bahujana Left Party,506,Telangana - Chandrayangutta 
1115,SYED MUSTAFA MAHMOOD,Majlis Bachao Tahreek,499,Telangana - Chandrayangutta 
1116,KANUGULA SRINIVAS,Independent,229,Telangana - Chandrayangutta 
1117,C.SHIVA SHANKER,Independent,224,Telangana - Chandrayangutta 
1118,SUDHARSHAN MALKAN,Shiv Sena,197,Telangana - Chandrayangutta 
1119,RAJU KOTHURU,Independent,193,Telangana - Chandrayangutta 
1120,MOHAMMED HAMED SIDDIQUI,Independent,187,Telangana - Chandrayangutta 
1121,AMJAD KHAN,Independent,180,Telangana - Chandrayangutta 
1122,MD. GHOUSE,Independent,173,Telangana - Chandrayangutta 
1123,AKKINAMONI VENKATESH,Independent,112,Telangana - Chandrayangutta 
1124,None of the Above,None of the Above,1009,Telangana - Chandrayangutta 
1125,SYED AHMED PASHA QUADRI,All India Majlis-E-Ittehadul Muslimeen,69595,Telangana - Yakutpura
1126,SAMA SUNDER REDDY,Telangana Rashtra Samithi,22617,Telangana - Yakutpura
1127,MAJEED ULLAH KHAN @ FARHAT KHAN,Majlis Bachao Tahreek,21222,Telangana - Yakutpura
1128,CH. ROOPRAJ,Bharatiya Janata Party,16608,Telangana - Yakutpura
1129,K. RAJENDER RAJU,Indian National Congress,6452,Telangana - Yakutpura
1130,E.SHIVA KUMAR,Independent,1560,Telangana - Yakutpura
1131,SYED INAYATH ULLAH,Bahujan Samaj Party,432,Telangana - Yakutpura
1132,MD. AFSAR KHAN,Independent,405,Telangana - Yakutpura
1133,JAMALPUR MAHESH KUMAR,Shiv Sena,323,Telangana - Yakutpura
1134,A.PANDU RANGA REDDY,Independent,253,Telangana - Yakutpura
1135,K. MAHESHWAR,Independent,242,Telangana - Yakutpura
1136,S. SUJATHA,Nationalist Congress Party,230,Telangana - Yakutpura
1137,MD. ABDUL AZIZ KHAN,Telangana Minorities OBC Rajyam,209,Telangana - Yakutpura
1138,WASEQ RAZA,Independent,173,Telangana - Yakutpura
1139,SYED HAJI PASHA,Marxist Communist Party of India (United),131,Telangana - Yakutpura
1140,MD. OSMAN,Telangana Labour Party,121,Telangana - Yakutpura
1141,HABEEB OSMAN BIN JEELANI,Independent,117,Telangana - Yakutpura
1142,KATTA SUDERSHAN,Independent,99,Telangana - Yakutpura
1143,M.ABDUL JALEEL,Independent,93,Telangana - Yakutpura
1144,NISAR MD KHAN,Independent,84,Telangana - Yakutpura
1145,LAEEQ AHMED KHAN,Independent,74,Telangana - Yakutpura
1146,None of the Above,None of the Above,799,Telangana - Yakutpura
1147,MOHD. MOAZAM KHAN,All India Majlis-E-Ittehadul Muslimeen,96993,Telangana - Bahadurpura
1148,MIR INAYATH ALI BAQRI,Telangana Rashtra Samithi,14475,Telangana - Bahadurpura
1149,HANEEF ALI,Bharatiya Janata Party,7395,Telangana - Bahadurpura
1150,SHAIK MOHD KALEEMUDDIN,Indian National Congress,7174,Telangana - Bahadurpura
1151,MOHAMMED SULTANUDDIN,National Youth Party,1976,Telangana - Bahadurpura
1152,MOHAMMED MAJEED ALI,Bahujana Left Party,574,Telangana - Bahadurpura
1153,N. NARSING RAO,Independent,378,Telangana - Bahadurpura
1154,SHAIK NASEEM  BEGUM,Aam Aadmi Party,283,Telangana - Bahadurpura
1155,SAYEDA MALIHA SHEREEN,Anna YSR Congress Party,146,Telangana - Bahadurpura
1156,None of the Above,None of the Above,1210,Telangana - Bahadurpura
1157,T.PADMA RAO,Telangana Rashtra Samithi,79309,Telangana - secunderabad
1158,KASANI GNANESHWAR MUDHIRAJ,Indian National Congress,33839,Telangana - secunderabad
1159,BANDAPELLY SATISH,Bharatiya Janata Party,11781,Telangana - secunderabad
1160,PAMPARI NARENDER,Rajyadhikara Party,1072,Telangana - secunderabad
1161,MADAN MOHAN VEMULAWADA,Bahujan Samaj Party,633,Telangana - secunderabad
1162,ANIL KUMAR KUNCHALA,Communist Party of India  (Marxist),555,Telangana - secunderabad
1163,R. RAJANI,Independent,444,Telangana - secunderabad
1164,DASARI SRINIVAS,Independent,260,Telangana - secunderabad
1165,KONDOJU MOHAN,Independent,232,Telangana - secunderabad
1166,A. DAVID PRAVEEN KUMAR,Indian Christian Secular Party,207,Telangana - secunderabad
1167,M. SUNITHA,Bahujana Raajyam Party (Phule Ambedkar),187,Telangana - secunderabad
1168,N.J. SEETHARAM,Independent,158,Telangana - secunderabad
1169,MOHAMMED IBRAHIM AHMED,Loktantrik Sarvjan Samaj Party,144,Telangana - secunderabad
1170,MAYABRAHMA NARASIMHA,Independent,138,Telangana - secunderabad
1171,JERUSALEM MATHAI,Independent,129,Telangana - secunderabad
1172,B. PADMA,Independent,127,Telangana - secunderabad
1173,SHAHADAT KHAN,Aam Aadmi Party,107,Telangana - secunderabad
1174,V. SIVA RAMA KRISHNA,Jai Bharath Jena Sena Party,95,Telangana - secunderabad
1175,KANTE SRINIVAS RAO (K.S.R),Ambedkar National Congress,88,Telangana - secunderabad
1176,S. SAI YADAV,Independent,85,Telangana - secunderabad
1177,V. RATNA WESLEY,India Praja Bandhu Party,82,Telangana - secunderabad
1178,V. G. SHARMA,Independent,78,Telangana - secunderabad
1179,MALLAMPATI RAJENDER,All India Forward Bloc,76,Telangana - secunderabad
1180,KADARI PRAVEENA,New India Party,75,Telangana - secunderabad
1181,S. YADAIAH,Independent,69,Telangana - secunderabad
1182,A. SRIKANTH MUDHIRAJ,Independent,65,Telangana - secunderabad
1183,MRANIKRINDA RAJAGOPAL,Independent,62,Telangana - secunderabad
1184,YELLALA VIJAYA KUMAR,Republican Party of India (A),61,Telangana - secunderabad
1185,SHAIK ABDUL SAYEED,Independent,39,Telangana - secunderabad
1186,None of the Above,None of the Above,1582,Telangana - secunderabad
1187,G. SAYANNA,Telangana Rashtra Samithi,65797,Telangana - Secunderabad Cantt.
1188,SATYANARAYANA SARVEY,Indian National Congress,28234,Telangana - Secunderabad Cantt.
1189,SRIGANESH,Bharatiya Janata Party,15487,Telangana - Secunderabad Cantt.
1190,NAGESHWAR RAO GAJJELA,Independent,2170,Telangana - Secunderabad Cantt.
1191,GADDAM ASHOK,Samajwadi Forward Bloc,1745,Telangana - Secunderabad Cantt.
1192,BOMMAKU MURALI,Bahujan Samaj Party,440,Telangana - Secunderabad Cantt.
1193,KONDURI YADAGIRI,Bahujana Left Party,348,Telangana - Secunderabad Cantt.
1194,M. JAI RAM,Prajaa Swaraaj Party,287,Telangana - Secunderabad Cantt.
1195,PUSHPANJALI SURARAM,Independent,261,Telangana - Secunderabad Cantt.
1196,S. R. SHIVA KUMAR,Nationalist Congress Party,259,Telangana - Secunderabad Cantt.
1197,MUPPIDI GOPAL,Independent,207,Telangana - Secunderabad Cantt.
1198,PARVATHI SIRIRALA,Loktantrik Sarvjan Samaj Party,185,Telangana - Secunderabad Cantt.
1199,BOTLA SAILU,Aam Aadmi Party,144,Telangana - Secunderabad Cantt.
1200,EILLANDULA SHANKER,Independent,126,Telangana - Secunderabad Cantt.
1201,GANDAM DAYAMANI,Independent,118,Telangana - Secunderabad Cantt.
1202,B. KIRAN KUMAR,Independent,102,Telangana - Secunderabad Cantt.
1203,B. RAJU,Independent,88,Telangana - Secunderabad Cantt.
1204,MAHENDER PERUKA,Jai Maha Bharath Party,81,Telangana - Secunderabad Cantt.
1205,YECHU SUNIL,Independent,65,Telangana - Secunderabad Cantt.
1206,None of the Above,None of the Above,1571,Telangana - Secunderabad Cantt.
1207,PATNAM NARENDER REDDY,Telangana Rashtra Samithi,80754,Telangana - Kodangal
1208,ANUMULA REVANTH REDDY,Indian National Congress,71435,Telangana - Kodangal
1209,PURRA BALAKISHORE,Independent,4171,Telangana - Kodangal
1210,NAGURAO NAMAJI,Bharatiya Janata Party,2624,Telangana - Kodangal
1211,K. NAGABHUSHANAM CHARY,Independent,1140,Telangana - Kodangal
1212,MALKEDI BANSILAL,Bahujan Samaj Party,1041,Telangana - Kodangal
1213,G. SURESH KUMAR,Independent,694,Telangana - Kodangal
1214,DR. KADIRE KRISHNAIAH,Samajwadi Party,620,Telangana - Kodangal
1215,SRINIVAS,Pyramid Party of India,563,Telangana - Kodangal
1216,SAVITRAMMA,Mana Party,283,Telangana - Kodangal
1217,RATHOD SURYA NAYAK,Bahujan Mukti Party,253,Telangana - Kodangal
1218,VENKATESWARLU  KANNOJU,Bahujana Left Party,244,Telangana - Kodangal
