,Candidate,Party,Votes,Constituency
0,BABU JANDEL,Indian National Congress,98580,Madhya Pradesh - SHEOPUR 
1,DURGA LAL VIJAY (VAKIL),Bharatiya Janata Party,56870,Madhya Pradesh - SHEOPUR 
2,TULSINARAYAN MEENA,Bahujan Samaj Party,14444,Madhya Pradesh - SHEOPUR 
3,AD. KULDEEP SINGH,Aam Aadmi Party,2142,Madhya Pradesh - SHEOPUR 
4,DIPTEE SAYYAD ZFAR ALI,Independent,1062,Madhya Pradesh - SHEOPUR 
5,MUKESH SUMAN,Bahujan Mukti Party,937,Madhya Pradesh - SHEOPUR 
6,HRVILASH ADIVASI,Independent,878,Madhya Pradesh - SHEOPUR 
7,TEJPAL ADIWASI,Jai Prakash Janata Dal,594,Madhya Pradesh - SHEOPUR 
8,MURLIDHAR PRAJAPATI,Rashtriya Krantikari Samajwadi Party,525,Madhya Pradesh - SHEOPUR 
9,RAVINDRA KUMAR,Inqalab Vikas Dal,466,Madhya Pradesh - SHEOPUR 
10,BHURE SINGH MALEE,Jan Adhikar Party,398,Madhya Pradesh - SHEOPUR 
11,None of the Above,None of the Above,1794,Madhya Pradesh - SHEOPUR 
12,BABU JANDEL,Indian National Congress,98580,Madhya Pradesh - SHEOPUR 
13,DURGA LAL VIJAY (VAKIL),Bharatiya Janata Party,56870,Madhya Pradesh - SHEOPUR 
14,TULSINARAYAN MEENA,Bahujan Samaj Party,14444,Madhya Pradesh - SHEOPUR 
15,AD. KULDEEP SINGH,Aam Aadmi Party,2142,Madhya Pradesh - SHEOPUR 
16,DIPTEE SAYYAD ZFAR ALI,Independent,1062,Madhya Pradesh - SHEOPUR 
17,MUKESH SUMAN,Bahujan Mukti Party,937,Madhya Pradesh - SHEOPUR 
18,HRVILASH ADIVASI,Independent,878,Madhya Pradesh - SHEOPUR 
19,TEJPAL ADIWASI,Jai Prakash Janata Dal,594,Madhya Pradesh - SHEOPUR 
20,MURLIDHAR PRAJAPATI,Rashtriya Krantikari Samajwadi Party,525,Madhya Pradesh - SHEOPUR 
21,RAVINDRA KUMAR,Inqalab Vikas Dal,466,Madhya Pradesh - SHEOPUR 
22,BHURE SINGH MALEE,Jan Adhikar Party,398,Madhya Pradesh - SHEOPUR 
23,None of the Above,None of the Above,1794,Madhya Pradesh - SHEOPUR 
24,SEETARAM,Bharatiya Janata Party,63331,Madhya Pradesh - VIJAYPUR 
25,RAMNIWAS RAWAT,Indian National Congress,60491,Madhya Pradesh - VIJAYPUR 
26,BABULAL MEBRA,Bahujan Samaj Party,35628,Madhya Pradesh - VIJAYPUR 
27,PANNALAL SOLANKI [RTD COLLECTOR],Independent,2615,Madhya Pradesh - VIJAYPUR 
28,MUKESH MALHOTRA,Independent,2423,Madhya Pradesh - VIJAYPUR 
29,ARVIND DHAKAR,Bahujan Mukti Party,1360,Madhya Pradesh - VIJAYPUR 
30,RAMSINGH DHAKAD URF PAPPU BABA,Independent,1180,Madhya Pradesh - VIJAYPUR 
31,RAMCHARAN MALI (BAKIL),Independent,979,Madhya Pradesh - VIJAYPUR 
32,DURJAN LAL RAY,Independent,802,Madhya Pradesh - VIJAYPUR 
33,KAMLESH,Independent,719,Madhya Pradesh - VIJAYPUR 
34,MURARI SAHARIYA,Independent,543,Madhya Pradesh - VIJAYPUR 
35,ASHUTOSH CHATURVEDI (BABLU),Aam Aadmi Party,474,Madhya Pradesh - VIJAYPUR 
36,AMRAT SINGH SIKARWAR,Independent,397,Madhya Pradesh - VIJAYPUR 
37,RAM NIVAS KUSHWAH,Bhartiya Veer Dal,391,Madhya Pradesh - VIJAYPUR 
38,GIRRAJ,Independent,379,Madhya Pradesh - VIJAYPUR 
39,None of the Above,None of the Above,1793,Madhya Pradesh - VIJAYPUR 
40,SEETARAM,Bharatiya Janata Party,63331,Madhya Pradesh - VIJAYPUR 
41,RAMNIWAS RAWAT,Indian National Congress,60491,Madhya Pradesh - VIJAYPUR 
42,BABULAL MEBRA,Bahujan Samaj Party,35628,Madhya Pradesh - VIJAYPUR 
43,PANNALAL SOLANKI [RTD COLLECTOR],Independent,2615,Madhya Pradesh - VIJAYPUR 
44,MUKESH MALHOTRA,Independent,2423,Madhya Pradesh - VIJAYPUR 
45,ARVIND DHAKAR,Bahujan Mukti Party,1360,Madhya Pradesh - VIJAYPUR 
46,RAMSINGH DHAKAD URF PAPPU BABA,Independent,1180,Madhya Pradesh - VIJAYPUR 
47,RAMCHARAN MALI (BAKIL),Independent,979,Madhya Pradesh - VIJAYPUR 
48,DURJAN LAL RAY,Independent,802,Madhya Pradesh - VIJAYPUR 
49,KAMLESH,Independent,719,Madhya Pradesh - VIJAYPUR 
50,MURARI SAHARIYA,Independent,543,Madhya Pradesh - VIJAYPUR 
51,ASHUTOSH CHATURVEDI (BABLU),Aam Aadmi Party,474,Madhya Pradesh - VIJAYPUR 
52,AMRAT SINGH SIKARWAR,Independent,397,Madhya Pradesh - VIJAYPUR 
53,RAM NIVAS KUSHWAH,Bhartiya Veer Dal,391,Madhya Pradesh - VIJAYPUR 
54,GIRRAJ,Independent,379,Madhya Pradesh - VIJAYPUR 
55,None of the Above,None of the Above,1793,Madhya Pradesh - VIJAYPUR 
56,BAIJNATH KUSHWAH,Indian National Congress,54606,Madhya Pradesh - SABALAGADH 
57,LAL SINGH KEWAT,Bahujan Samaj Party,45869,Madhya Pradesh - SABALAGADH 
58,SARLA VIJENDRA RAWAT,Bharatiya Janata Party,45100,Madhya Pradesh - SABALAGADH 
59,COL.UMESH VERMA,Aam Aadmi Party,1532,Madhya Pradesh - SABALAGADH 
60,CHANDRA PRAKASH SHARMA,Independent,1433,Madhya Pradesh - SABALAGADH 
61,ARVIND,Shiv Sena,934,Madhya Pradesh - SABALAGADH 
62,DR.RAJENDRA SINGH RAWAT,Samajwadi Party,845,Madhya Pradesh - SABALAGADH 
63,PATIRAM SHAKYA,Independent,559,Madhya Pradesh - SABALAGADH 
64,DIBAI CHAND KEVAT,Independent,425,Madhya Pradesh - SABALAGADH 
65,NARESH SHRIVASH,Independent,399,Madhya Pradesh - SABALAGADH 
66,SHAILENDRA KUMAR GAUR,All India Forward Bloc,350,Madhya Pradesh - SABALAGADH 
67,RAVI SHARMA,Bhartiya Gramin Samaj Party,230,Madhya Pradesh - SABALAGADH 
68,USHA RAWAT,Bhartiya Panchyat Party,94,Madhya Pradesh - SABALAGADH 
69,None of the Above,None of the Above,994,Madhya Pradesh - SABALAGADH 
70,BAIJNATH KUSHWAH,Indian National Congress,54606,Madhya Pradesh - SABALAGADH 
71,LAL SINGH KEWAT,Bahujan Samaj Party,45869,Madhya Pradesh - SABALAGADH 
72,SARLA VIJENDRA RAWAT,Bharatiya Janata Party,45100,Madhya Pradesh - SABALAGADH 
73,COL.UMESH VERMA,Aam Aadmi Party,1532,Madhya Pradesh - SABALAGADH 
74,CHANDRA PRAKASH SHARMA,Independent,1433,Madhya Pradesh - SABALAGADH 
75,ARVIND,Shiv Sena,934,Madhya Pradesh - SABALAGADH 
76,DR.RAJENDRA SINGH RAWAT,Samajwadi Party,845,Madhya Pradesh - SABALAGADH 
77,PATIRAM SHAKYA,Independent,559,Madhya Pradesh - SABALAGADH 
78,DIBAI CHAND KEVAT,Independent,425,Madhya Pradesh - SABALAGADH 
79,NARESH SHRIVASH,Independent,399,Madhya Pradesh - SABALAGADH 
80,SHAILENDRA KUMAR GAUR,All India Forward Bloc,350,Madhya Pradesh - SABALAGADH 
81,RAVI SHARMA,Bhartiya Gramin Samaj Party,230,Madhya Pradesh - SABALAGADH 
82,USHA RAWAT,Bhartiya Panchyat Party,94,Madhya Pradesh - SABALAGADH 
83,None of the Above,None of the Above,994,Madhya Pradesh - SABALAGADH 
84,BANAVAREELAL SHARMA (JAPTHAP),Indian National Congress,56187,Madhya Pradesh - JAURA
85,MANEERAM DHAKAD,Bahujan Samaj Party,41014,Madhya Pradesh - JAURA
86,SUBEDAR SINGH RAJODHA,Bharatiya Janata Party,37988,Madhya Pradesh - JAURA
87,ATAR SINGH GURJAR,Mahan Dal,17167,Madhya Pradesh - JAURA
88,SONERAM KUSHWAH,Samajwadi Party,2742,Madhya Pradesh - JAURA
89,VIDYARAM PRAJAPATI,Shiv Sena,1303,Madhya Pradesh - JAURA
90,MANIRAM SHAKYA,Bahujan Mukti Party,1168,Madhya Pradesh - JAURA
91,GAYARAM SINGH DHAKAD,Communist Party of India  (Marxist),1110,Madhya Pradesh - JAURA
92,SHRIKRISHAN SINGH KUSHWAH,Aam Aadmi Party,791,Madhya Pradesh - JAURA
93,DHARMENDRA,Independent,499,Madhya Pradesh - JAURA
94,SURENDRA SHARMA (TYAGI),Sapaks Party,438,Madhya Pradesh - JAURA
95,RAMLAKHAN SINGH SIKARWAR,Independent,429,Madhya Pradesh - JAURA
96,KULADEEP SINGH,Independent,370,Madhya Pradesh - JAURA
97,RAM RAJ,Independent,360,Madhya Pradesh - JAURA
98,GAJENDRA KORI,Jan Adhikar Party,303,Madhya Pradesh - JAURA
99,VINAY SINGH,Independent,247,Madhya Pradesh - JAURA
100,SATTAR KHAN,Bahujan Sangharshh Dal,202,Madhya Pradesh - JAURA
101,PUSPENDRA SINGH,Rashtriya Samaj Paksha,199,Madhya Pradesh - JAURA
102,PUSHPENDRA PARASAR,Independent,130,Madhya Pradesh - JAURA
103,PRADEEP YADAV,Bhartiya Panchyat Party,101,Madhya Pradesh - JAURA
104,None of the Above,None of the Above,363,Madhya Pradesh - JAURA
105,BANAVAREELAL SHARMA (JAPTHAP),Indian National Congress,56187,Madhya Pradesh - JAURA
106,MANEERAM DHAKAD,Bahujan Samaj Party,41014,Madhya Pradesh - JAURA
107,SUBEDAR SINGH RAJODHA,Bharatiya Janata Party,37988,Madhya Pradesh - JAURA
108,ATAR SINGH GURJAR,Mahan Dal,17167,Madhya Pradesh - JAURA
109,SONERAM KUSHWAH,Samajwadi Party,2742,Madhya Pradesh - JAURA
110,VIDYARAM PRAJAPATI,Shiv Sena,1303,Madhya Pradesh - JAURA
111,MANIRAM SHAKYA,Bahujan Mukti Party,1168,Madhya Pradesh - JAURA
112,GAYARAM SINGH DHAKAD,Communist Party of India  (Marxist),1110,Madhya Pradesh - JAURA
113,SHRIKRISHAN SINGH KUSHWAH,Aam Aadmi Party,791,Madhya Pradesh - JAURA
114,DHARMENDRA,Independent,499,Madhya Pradesh - JAURA
115,SURENDRA SHARMA (TYAGI),Sapaks Party,438,Madhya Pradesh - JAURA
116,RAMLAKHAN SINGH SIKARWAR,Independent,429,Madhya Pradesh - JAURA
117,KULADEEP SINGH,Independent,370,Madhya Pradesh - JAURA
118,RAM RAJ,Independent,360,Madhya Pradesh - JAURA
119,GAJENDRA KORI,Jan Adhikar Party,303,Madhya Pradesh - JAURA
120,VINAY SINGH,Independent,247,Madhya Pradesh - JAURA
121,SATTAR KHAN,Bahujan Sangharshh Dal,202,Madhya Pradesh - JAURA
122,PUSPENDRA SINGH,Rashtriya Samaj Paksha,199,Madhya Pradesh - JAURA
123,PUSHPENDRA PARASAR,Independent,130,Madhya Pradesh - JAURA
124,PRADEEP YADAV,Bhartiya Panchyat Party,101,Madhya Pradesh - JAURA
125,None of the Above,None of the Above,363,Madhya Pradesh - JAURA
126,ADAL SINGH KANSANA,Indian National Congress,65455,Madhya Pradesh - SUMAOLI
127,AJAB SINGH KUSHWAH,Bharatiya Janata Party,52142,Madhya Pradesh - SUMAOLI
128,GANDHI MANVENDRA SINGH,Bahujan Samaj Party,31331,Madhya Pradesh - SUMAOLI
129,SOBRAN SINGH GHALETHA,Samajwadi Party,6873,Madhya Pradesh - SUMAOLI
130,RAMKISHOR SINGH SIKARWAR,Independent,631,Madhya Pradesh - SUMAOLI
131,VINOD SINGH PARMAR,Aam Aadmi Party,420,Madhya Pradesh - SUMAOLI
132,RAJ KUMAR,Independent,385,Madhya Pradesh - SUMAOLI
133,DR. MATADIN SONI,Jan Adhikar Party,289,Madhya Pradesh - SUMAOLI
134,GYAPRASAD,Independent,250,Madhya Pradesh - SUMAOLI
135,RAVINDRA SINGH,Independent,173,Madhya Pradesh - SUMAOLI
136,SUSHIL YADAV,Bhartiya Panchyat Party,112,Madhya Pradesh - SUMAOLI
137,SIROMANI BAGHEL,Rashtriya Samaj Paksha,112,Madhya Pradesh - SUMAOLI
138,KRISHNAPAL SINGH SIKARWAR,Independent,108,Madhya Pradesh - SUMAOLI
139,None of the Above,None of the Above,1086,Madhya Pradesh - SUMAOLI
140,ADAL SINGH KANSANA,Indian National Congress,65455,Madhya Pradesh - SUMAOLI
141,AJAB SINGH KUSHWAH,Bharatiya Janata Party,52142,Madhya Pradesh - SUMAOLI
142,GANDHI MANVENDRA SINGH,Bahujan Samaj Party,31331,Madhya Pradesh - SUMAOLI
143,SOBRAN SINGH GHALETHA,Samajwadi Party,6873,Madhya Pradesh - SUMAOLI
144,RAMKISHOR SINGH SIKARWAR,Independent,631,Madhya Pradesh - SUMAOLI
145,VINOD SINGH PARMAR,Aam Aadmi Party,420,Madhya Pradesh - SUMAOLI
146,RAJ KUMAR,Independent,385,Madhya Pradesh - SUMAOLI
147,DR. MATADIN SONI,Jan Adhikar Party,289,Madhya Pradesh - SUMAOLI
148,GYAPRASAD,Independent,250,Madhya Pradesh - SUMAOLI
149,RAVINDRA SINGH,Independent,173,Madhya Pradesh - SUMAOLI
150,SUSHIL YADAV,Bhartiya Panchyat Party,112,Madhya Pradesh - SUMAOLI
151,SIROMANI BAGHEL,Rashtriya Samaj Paksha,112,Madhya Pradesh - SUMAOLI
152,KRISHNAPAL SINGH SIKARWAR,Independent,108,Madhya Pradesh - SUMAOLI
153,None of the Above,None of the Above,1086,Madhya Pradesh - SUMAOLI
154,RAGHURAJ SINGH KANSANA,Indian National Congress,68965,Madhya Pradesh - MORENA
155,RUSTAM SINGH,Bharatiya Janata Party,48116,Madhya Pradesh - MORENA
156,BALVIR SINGH DANDOTIYA,Bahujan Samaj Party,21149,Madhya Pradesh - MORENA
157,RAM PRAKASH RAJORIYA,Aam Aadmi Party,7160,Madhya Pradesh - MORENA
158,BHAGEERATH SINGH,Samajwadi Party,1281,Madhya Pradesh - MORENA
159,KAPIL MAHOR,Rashtriya Rakshak Morcha,702,Madhya Pradesh - MORENA
160,RANJEET KUSHWAH,Jan Adhikar Party,604,Madhya Pradesh - MORENA
161,VIJAY SHRIVASTAVA,Independent,545,Madhya Pradesh - MORENA
162,RAJU CHOUDHRI,Independent,363,Madhya Pradesh - MORENA
163,VIKASH VICKY KIRAD,Bhartiya Panchyat Party,338,Madhya Pradesh - MORENA
164,SUDHARAM SINGH BHADORIYA,Shiv Sena,304,Madhya Pradesh - MORENA
165,MUKESH MOURYA,Independent,216,Madhya Pradesh - MORENA
166,MANOJ,Independent,150,Madhya Pradesh - MORENA
167,CHATUR SINGH,Independent,144,Madhya Pradesh - MORENA
168,None of the Above,None of the Above,1138,Madhya Pradesh - MORENA
169,GIRRAJ DANDOTIYA,Indian National Congress,69597,Madhya Pradesh - DIMANI 
170,SHIV MANGAL SINGH TOMAR,Bharatiya Janata Party,51120,Madhya Pradesh - DIMANI 
171,CHHATTAR SINGH TOMAR,Bahujan Samaj Party,14456,Madhya Pradesh - DIMANI 
172,JITENDRA SINGH,Independent,1146,Madhya Pradesh - DIMANI 
173,KISHORILAL,Independent,909,Madhya Pradesh - DIMANI 
174,PRABHU SINGH,Independent,756,Madhya Pradesh - DIMANI 
175,SHYAMKARAN KHADIYAHAR,Sampoorna Samaj Party,382,Madhya Pradesh - DIMANI 
176,BALVEER SINGH,Jan Adhikar Party,328,Madhya Pradesh - DIMANI 
177,AJAMER SINGH,Independent,315,Madhya Pradesh - DIMANI 
178,BRAJWASHI KUSHWAH,Samajwadi Party,306,Madhya Pradesh - DIMANI 
179,MUKESH SINGH KUSHWAH,Rashtriya Lok Samta Party,297,Madhya Pradesh - DIMANI 
180,AROON SINGH,Bhartiya Jan Yug Party,286,Madhya Pradesh - DIMANI 
181,SIYARAM SINGH HARSANA,Bhartiya Veer Dal,275,Madhya Pradesh - DIMANI 
182,BISHAWNATH,Independent,188,Madhya Pradesh - DIMANI 
183,BAIJNATH,Rashtriya Krantikari Samajwadi Party,178,Madhya Pradesh - DIMANI 
184,SATYENDRA SINGH TOMAR,Shiv Sena,159,Madhya Pradesh - DIMANI 
185,GHAN SHYAM SINGH TOMAR,Aam Aadmi Party,138,Madhya Pradesh - DIMANI 
186,MAHENDRA SINGH TOMAR,All India Forward Bloc,97,Madhya Pradesh - DIMANI 
187,None of the Above,None of the Above,436,Madhya Pradesh - DIMANI 
188,KAMLESH JATAV,Indian National Congress,37343,Madhya Pradesh - AMBAH 
189,NEHA KINNAR,Independent,29796,Madhya Pradesh - AMBAH 
190,GABBAR SAKHWAR,Bharatiya Janata Party,29715,Madhya Pradesh - AMBAH 
191,SATYAPRAKASH SAKHAWAR [ADVOCATE],Bahujan Samaj Party,22179,Madhya Pradesh - AMBAH 
192,VIJAY KUMAR CHHARI,Independent,1042,Madhya Pradesh - AMBAH 
193,GAJENDAR SINGH,Independent,784,Madhya Pradesh - AMBAH 
194,SITA DEVI,Independent,687,Madhya Pradesh - AMBAH 
195,SEEMA KATHERIYA,Rashtriya Rakshak Morcha,601,Madhya Pradesh - AMBAH 
196,RAJKUMAR SHAKHAWAR,Hind Congress Party,463,Madhya Pradesh - AMBAH 
197,RAKESH KUMAR GOUR,Independent,375,Madhya Pradesh - AMBAH 
198,SUNEEL KUMAR MAHOR,Aam Aadmi Party,359,Madhya Pradesh - AMBAH 
199,RAKESH NAGAR,Bhartiya Panchyat Party,317,Madhya Pradesh - AMBAH 
200,None of the Above,None of the Above,1255,Madhya Pradesh - AMBAH 
201,ARVIND SINGH BHADORIA,Bharatiya Janata Party,58928,Madhya Pradesh - ATER 
202,HEMANT SATYADEV KATARE,Indian National Congress,53950,Madhya Pradesh - ATER 
203,SANJEEV BAGHEL,Bahujan Samaj Party,16585,Madhya Pradesh - ATER 
204,CHATUR SINGH,Independent,695,Madhya Pradesh - ATER 
205,NAND KISHOR YADAV,Samajwadi Party,645,Madhya Pradesh - ATER 
206,SHYAM SUNDAR SINGH YADAV,Loktantrik Samajwadi Party,636,Madhya Pradesh - ATER 
207,ASHOK SINGH BHADOURIA (KANAWAR),Aam Aadmi Party,520,Madhya Pradesh - ATER 
208,JALALUDDIN KHAN,Independent,328,Madhya Pradesh - ATER 
209,KOSHLENDRA SINGH,Independent,297,Madhya Pradesh - ATER 
210,CHANDRVEER SINGH,Independent,293,Madhya Pradesh - ATER 
211,GANESH SHINGH BHADORIA,Independent,270,Madhya Pradesh - ATER 
212,DINESH SINGH,Independent,255,Madhya Pradesh - ATER 
213,SONU,Independent,245,Madhya Pradesh - ATER 
214,AVDHESH RAJAWAT,Independent,220,Madhya Pradesh - ATER 
215,MITHLESH VIJAY MISHRA (RAJU KHERI),Sarva Samaj Kalyan Party,191,Madhya Pradesh - ATER 
216,OMPRAKASH LAHARIA,Independent,133,Madhya Pradesh - ATER 
217,SHIVCHARAN SINGH LODHI,Rashtriya Kranti Party,121,Madhya Pradesh - ATER 
218,JAY PRAKASH,Independent,121,Madhya Pradesh - ATER 
219,SANTOSH SHARMA,Independent,117,Madhya Pradesh - ATER 
220,HARENDRA SINGH BHADOURIYA,Independent,109,Madhya Pradesh - ATER 
221,UMESH GARG,Independent,102,Madhya Pradesh - ATER 
222,INDAL SINGH,Independent,97,Madhya Pradesh - ATER 
223,SARVESH SINGH,Independent,96,Madhya Pradesh - ATER 
224,RAMNARESH PAVAIYA (JAGNNATH),Independent,96,Madhya Pradesh - ATER 
225,ARVIND TYAGI,Independent,73,Madhya Pradesh - ATER 
226,SANTOSH KUMAR PACHAURI,Independent,69,Madhya Pradesh - ATER 
227,MUKESH KUMAR PORSIYA,Independent,37,Madhya Pradesh - ATER 
228,BHURI BAI,Independent,37,Madhya Pradesh - ATER 
229,MOHIT SINGH TOMAR,Independent,37,Madhya Pradesh - ATER 
230,VIKRANT SINGH,Independent,36,Madhya Pradesh - ATER 
231,RAJEEV SINGH BHADORIA,Independent,33,Madhya Pradesh - ATER 
232,VIRENDRA D SHARMA,Independent,31,Madhya Pradesh - ATER 
233,ENGINEER RAHUL DIXIT,Independent,30,Madhya Pradesh - ATER 
234,None of the Above,None of the Above,195,Madhya Pradesh - ATER 
235,SANJEEV SINGH (SANJU),Bahujan Samaj Party,69107,Madhya Pradesh - BHIND 
236,CHAUDHARY RAKESH SINGH CHATURVEDI,Bharatiya Janata Party,33211,Madhya Pradesh - BHIND 
237,NARENDRA SINGH KUSHWAH,Samajwadi Party,30474,Madhya Pradesh - BHIND 
238,DR. RAMESH DUBEY,Indian National Congress,8297,Madhya Pradesh - BHIND 
239,CHUNNILAL PRAJAPATI,Bahujan Mukti Party,729,Madhya Pradesh - BHIND 
240,DR. MANOJ JAIN,Sapaks Party,687,Madhya Pradesh - BHIND 
241,UDAYVEER SINGH,Independent,655,Madhya Pradesh - BHIND 
242,DALVEER SINGH RATHOR,Shiv Sena,600,Madhya Pradesh - BHIND 
243,BHAI MUKESH  GARG - PARSHAD,Bahujan Sangharshh Dal,566,Madhya Pradesh - BHIND 
244,DR. RAMKUMAR TRIPATHI (SEETI),Independent,526,Madhya Pradesh - BHIND 
245,REKHA MUNNA SHAKYA,All India Forward Bloc,448,Madhya Pradesh - BHIND 
246,SAKET SAXENA,Aam Aadmi Party,427,Madhya Pradesh - BHIND 
247,SURESH,Independent,282,Madhya Pradesh - BHIND 
248,REKHA - RAKESH AGRAWAL,Bhartiya Sarvsamaj Party,234,Madhya Pradesh - BHIND 
249,CHAU. CALLECTAR SINGH,Independent,204,Madhya Pradesh - BHIND 
250,SUNIL,Independent,201,Madhya Pradesh - BHIND 
251,MANOJ SINGH KUSHWAH (FOUZI),Bhartiya Jan Yug Party,168,Madhya Pradesh - BHIND 
252,JASMANT SINGH,Jan Adhikar Party,164,Madhya Pradesh - BHIND 
253,None of the Above,None of the Above,942,Madhya Pradesh - BHIND 
254,DR. GOVIND SINGH,Indian National Congress,62113,Madhya Pradesh - LAHAR 
255,RASAL SINGH,Bharatiya Janata Party,53040,Madhya Pradesh - LAHAR 
256,AMBRISH SHARMA GUDDU,Bahujan Samaj Party,31367,Madhya Pradesh - LAHAR 
257,RAMKUMAR,Independent,1565,Madhya Pradesh - LAHAR 
258,DHANEERAM,Jan Adhikar Party,761,Madhya Pradesh - LAHAR 
259,RAMKUMAR,Independent,740,Madhya Pradesh - LAHAR 
260,MOHAMMAD VASEER KHAN,Independent,639,Madhya Pradesh - LAHAR 
261,LAL SINGH KUSHWAH,Bahujan Sangharshh Dal,497,Madhya Pradesh - LAHAR 
262,MAHIPAL,Independent,450,Madhya Pradesh - LAHAR 
263,RAMPRATAP,Independent,398,Madhya Pradesh - LAHAR 
264,AVNISH,Independent,398,Madhya Pradesh - LAHAR 
265,SHAILENDRASINGH,Independent,393,Madhya Pradesh - LAHAR 
266,SHIVNATH SINGH RATHOUD,Independent,390,Madhya Pradesh - LAHAR 
267,YOGENDRA SINGH KUSHWAH (MEHDAVA),Aam Aadmi Party,332,Madhya Pradesh - LAHAR 
268,PRABAL KUMAR,Independent,216,Madhya Pradesh - LAHAR 
269,ONKAR SINGH,Independent,212,Madhya Pradesh - LAHAR 
270,GANESH RATHAUR,Independent,194,Madhya Pradesh - LAHAR 
271,CHANDRASHEKHAR,Independent,188,Madhya Pradesh - LAHAR 
272,SANJAY SINGH URF RAJAJI,Independent,187,Madhya Pradesh - LAHAR 
273,KEDAR SINGH RAJAWAT,Independent,151,Madhya Pradesh - LAHAR 
274,SUBHASH AGNIHOTRI,Independent,145,Madhya Pradesh - LAHAR 
275,HARI SINGH,Independent,124,Madhya Pradesh - LAHAR 
276,None of the Above,None of the Above,345,Madhya Pradesh - LAHAR 
277,O.P.S. BHADORIA,Indian National Congress,61560,Madhya Pradesh - MEHGAON
278,RAKESH SHUKLA,Bharatiya Janata Party,35746,Madhya Pradesh - MEHGAON
279,RANJEET SINGH GURJAR,Bahujan Sangharshh Dal,28160,Madhya Pradesh - MEHGAON
280,DR.RAJKUMAR SINGH KUSHWAH,Rashtriya Lok Samta Party,15307,Madhya Pradesh - MEHGAON
281,KAUSHAL TIWARI,Bahujan Samaj Party,7597,Madhya Pradesh - MEHGAON
282,SURESH SINGH SIKARWAR,Samajwadi Party,6151,Madhya Pradesh - MEHGAON
283,O.P.S. NARWARIYA,Bahujan Mukti Party,1141,Madhya Pradesh - MEHGAON
284,BHUPENDRA KARANA(GURJAR),Aam Aadmi Party,1026,Madhya Pradesh - MEHGAON
285,ASHISH TIWARI,Independent,642,Madhya Pradesh - MEHGAON
286,SUNIL KUMAR SHARMA,Rashtriya Sanyukt Samaj Party,600,Madhya Pradesh - MEHGAON
287,AKHILESH SINGH NARWARIA,Independent,307,Madhya Pradesh - MEHGAON
288,RAJENDRA PRASHAD SHASTRI,Sapaks Party,301,Madhya Pradesh - MEHGAON
289,BENIRAM KUSHWAH,Independent,290,Madhya Pradesh - MEHGAON
290,SANTOSH TIWARI,Independent,280,Madhya Pradesh - MEHGAON
291,AMIT SINGH,Independent,272,Madhya Pradesh - MEHGAON
292,ABHILAKH SINGH,Independent,211,Madhya Pradesh - MEHGAON
293,RANKENDRA SINGH,Independent,201,Madhya Pradesh - MEHGAON
294,PAWAN SHARMA,Independent,198,Madhya Pradesh - MEHGAON
295,DINESH SHARMA (D.K.),Independent,197,Madhya Pradesh - MEHGAON
296,LATOORI SINGH KUSHWAH,Jan Adhikar Party,192,Madhya Pradesh - MEHGAON
297,UPENDRA,Independent,174,Madhya Pradesh - MEHGAON
298,ANIL KUMAR,Independent,154,Madhya Pradesh - MEHGAON
299,MUKAT SINGH NARWARIA DONIYAPURA,Independent,152,Madhya Pradesh - MEHGAON
300,BRAHMAKISHOR,Independent,149,Madhya Pradesh - MEHGAON
301,SATENDRA SINGH,Independent,146,Madhya Pradesh - MEHGAON
302,SAUMYA SHARMA ADVOCATE,Independent,146,Madhya Pradesh - MEHGAON
303,BHEEKAM SINGH,Independent,140,Madhya Pradesh - MEHGAON
304,VIKRAM SHARMA,Independent,122,Madhya Pradesh - MEHGAON
305,BRAJENDRA SINGH,Independent,115,Madhya Pradesh - MEHGAON
306,MANISH KUMAR AGRAWAL,Independent,114,Madhya Pradesh - MEHGAON
307,PRAMOD KUMAR SHARMA,Independent,91,Madhya Pradesh - MEHGAON
308,RAJVEER SINGH,Independent,83,Madhya Pradesh - MEHGAON
309,RAHEESH KHAN,Independent,81,Madhya Pradesh - MEHGAON
310,SHRINIVASH,Independent,81,Madhya Pradesh - MEHGAON
311,None of the Above,None of the Above,283,Madhya Pradesh - MEHGAON
312,RANVIR JATAV,Indian National Congress,62981,Madhya Pradesh - GOHAD 
313,LALSINGH ARYA,Bharatiya Janata Party,38992,Madhya Pradesh - GOHAD 
314,DR. JAGDISH SINGH  SAGAR,Bahujan Samaj Party,15477,Madhya Pradesh - GOHAD 
315,GULAB SINGH JATAV,Bahujan Sangharshh Dal,4386,Madhya Pradesh - GOHAD 
316,PREM NARAYAN  MAHORE,Communist Party of India  (Marxist),1734,Madhya Pradesh - GOHAD 
317,GUDDU VALMIK,Aam Aadmi Party,1173,Madhya Pradesh - GOHAD 
318,DR. P. S BOUDDH,Independent,694,Madhya Pradesh - GOHAD 
319,RAKESH SAGAR,Rashtriya Lok Samta Party,685,Madhya Pradesh - GOHAD 
320,RAMLAKHAN,Independent,657,Madhya Pradesh - GOHAD 
321,MOHARSINGH,Independent,566,Madhya Pradesh - GOHAD 
322,THAKURDAS KHATIK,Rashtriya Sanyukt Samaj Party,312,Madhya Pradesh - GOHAD 
323,VIDHYARAM,Independent,291,Madhya Pradesh - GOHAD 
