,Candidate,Party,Votes,Constituency
1739,DR. ANIL UPADHYAY,Bahujan Samaj Party,347,Rajasthan - Jodhpur
1740,ANIL KOTHARI,Shiv Sena,209,Rajasthan - Jodhpur
1741,JABAR SINGH,Aam Aadmi Party,208,Rajasthan - Jodhpur
1742,LAKHAN,Independent,162,Rajasthan - Jodhpur
1743,SOHAN LAL CHOUDHARY,Bharat Vahini Party,147,Rajasthan - Jodhpur
1744,VIRENDRA,Dalit Kranti Dal,147,Rajasthan - Jodhpur
1745,MOHAMMED ARIF,Independent,99,Rajasthan - Jodhpur
1746,GHANSHYAM MEWARA,Independent,66,Rajasthan - Jodhpur
1747,ASHRAF KHAN,Independent,65,Rajasthan - Jodhpur
1748,LAXMI DEVI,Peopleâs Liberal Party,40,Rajasthan - Jodhpur
1749,None of the Above,None of the Above,1107,Rajasthan - Jodhpur
1750,SURYAKANTA VYAS,Bharatiya Janata Party,86885,Rajasthan - Soorsagar
1751,PROFESSOR AYYUB KHAN,Indian National Congress,81122,Rajasthan - Soorsagar
1752,GHASIRAM BHATI,Bahujan Samaj Party,1676,Rajasthan - Soorsagar
1753,VIKAS SHARMA,Bharat Vahini Party,1009,Rajasthan - Soorsagar
1754,SAMPAT PUNIYA,Independent,919,Rajasthan - Soorsagar
1755,ALKA SHARMA,Aam Aadmi Party,899,Rajasthan - Soorsagar
1756,JANAK SONI,Independent,580,Rajasthan - Soorsagar
1757,VIRENDRA PURI,Independent,515,Rajasthan - Soorsagar
1758,SAMPAT RAJ MEGHWAL,Independent,395,Rajasthan - Soorsagar
1759,YOGESH,Independent,377,Rajasthan - Soorsagar
1760,RAMESH,Independent,337,Rajasthan - Soorsagar
1761,GANESH SINGH JODHA,Independent,186,Rajasthan - Soorsagar
1762,SANDEEP GODARA,Abhinav Rajasthan Party,156,Rajasthan - Soorsagar
1763,SATYANARAYAN PRAJAPAT,Republican Party of India (Reformist),125,Rajasthan - Soorsagar
1764,ANAND PRAKASH,Independent,118,Rajasthan - Soorsagar
1765,None of the Above,None of the Above,2294,Rajasthan - Soorsagar
1766,MAHENDRA VISHNOI,Indian National Congress,84979,Rajasthan - Luni
1767,JOGARAM PATEL,Bharatiya Janata Party,75822,Rajasthan - Luni
1768,BHANWAR LAL,Rashtriya Loktantrik Party,30662,Rajasthan - Luni
1769,PAPPU SINGH,Bahujan Samaj Party,23750,Rajasthan - Luni
1770,ANAND SINGH,Nationalist People's Front,1514,Rajasthan - Luni
1771,MADAN DAS,Naya Bharat Party,1224,Rajasthan - Luni
1772,BHALLA RAM,Independent,973,Rajasthan - Luni
1773,KAILASH KUMAR,Independent,934,Rajasthan - Luni
1774,PREM SINGH,Aam Aadmi Party,898,Rajasthan - Luni
1775,None of the Above,None of the Above,2315,Rajasthan - Luni
1776,HEERARAM,Indian National Congress,75671,Rajasthan - Bilara 
1777,ARJUN LAL,Bharatiya Janata Party,66053,Rajasthan - Bilara 
1778,VIJENDRA JHALA,Rashtriya Loktantrik Party,37796,Rajasthan - Bilara 
1779,MANGILAL,Abhinav Rajasthan Party,1952,Rajasthan - Bilara 
1780,PUKHRAJ SONEL,Independent,1265,Rajasthan - Bilara 
1781,None of the Above,None of the Above,2387,Rajasthan - Bilara 
1782,ROOPARAM,Indian National Congress,106531,Rajasthan - Jaisalmer
1783,SANGSINGH BHATI,Bharatiya Janata Party,76753,Rajasthan - Jaisalmer
1784,VEER SINGH BHATI,Bharat Vahini Party,1429,Rajasthan - Jaisalmer
1785,RENWATA RAM,Independent,767,Rajasthan - Jaisalmer
1786,BAHADUR KHAN,Independent,738,Rajasthan - Jaisalmer
1787,None of the Above,None of the Above,1484,Rajasthan - Jaisalmer
1788,SHALE MOHAMMAD,Indian National Congress,82964,Rajasthan - Pokaran
1789,PRATAPPURI,Bharatiya Janata Party,82092,Rajasthan - Pokaran
1790,PARAMARAM,Independent,2748,Rajasthan - Pokaran
1791,TULCHHARAM,Bahujan Samaj Party,2187,Rajasthan - Pokaran
1792,PUKHRAJ,Independent,956,Rajasthan - Pokaran
1793,None of the Above,None of the Above,1122,Rajasthan - Pokaran
1794,AMEEN KHAN,Indian National Congress,84338,Rajasthan - Sheo
1795,KHANGAR SINGH SODHA,Bharatiya Janata Party,60784,Rajasthan - Sheo
1796,UDARAM MEGHWAL,Rashtriya Loktantrik Party,50944,Rajasthan - Sheo
1797,NARANARAM,Bahujan Samaj Party,3316,Rajasthan - Sheo
1798,TOGA RAM,Bahujan Sangharshh Dal,2035,Rajasthan - Sheo
1799,None of the Above,None of the Above,3059,Rajasthan - Sheo
1800,MEWARAM JAIN,Indian National Congress,97874,Rajasthan - Barmer
1801,COL. SONARAM CHOUDHARY (RETD),Bharatiya Janata Party,64827,Rajasthan - Barmer
1802,RAHUL KUMAR,Independent,13678,Rajasthan - Barmer
1803,NANAK DAS DHARIWAL,Communist Party of India,2488,Rajasthan - Barmer
1804,RAJENDRA KUMAR,Bahujan Samaj Party,2325,Rajasthan - Barmer
1805,SHANKAR LAL,Independent,1969,Rajasthan - Barmer
1806,KHARTHARAM CHOUDHARY,Abhinav Rajasthan Party,1743,Rajasthan - Barmer
1807,JUGTA RAM,Independent,1462,Rajasthan - Barmer
1808,None of the Above,None of the Above,2048,Rajasthan - Barmer
1809,HARISH CHOUDHARY,Indian National Congress,57703,Rajasthan - Baytu
1810,UMMEDA RAM,Rashtriya Loktantrik Party,43900,Rajasthan - Baytu
1811,KAILASH CHOUDHARY,Bharatiya Janata Party,39392,Rajasthan - Baytu
1812,KISHORE SINGH,Bahujan Samaj Party,27677,Rajasthan - Baytu
1813,UMEEDA RAM AKA AMIT NAYAK,Independent,2613,Rajasthan - Baytu
1814,MAGA RAM,Dalit Soshit Pichhara Varg  Adhikar Dal,2259,Rajasthan - Baytu
1815,PEMA RAM,Independent,1697,Rajasthan - Baytu
1816,KARNARAM,Abhinav Rajasthan Party,1268,Rajasthan - Baytu
1817,JOGA RAM,Aam Aadmi Party,714,Rajasthan - Baytu
1818,BHANA RAM,Rashtriya Jankranti Party,701,Rajasthan - Baytu
1819,None of the Above,None of the Above,2754,Rajasthan - Baytu
1820,MADAN PRAJAPAT,Indian National Congress,69393,Rajasthan - Pachpadra
1821,AMARA RAM,Bharatiya Janata Party,66998,Rajasthan - Pachpadra
1822,NARAYANRAM CHOUDHARY,Rashtriya Loktantrik Party,6882,Rajasthan - Pachpadra
1823,SHYAMLAL,Bahujan Samaj Party,6370,Rajasthan - Pachpadra
1824,HUKAM SINGH,Independent,3284,Rajasthan - Pachpadra
1825,PANNALAL,Shiv Sena,2698,Rajasthan - Pachpadra
1826,NATHU RAM,Bharat Vahini Party,1073,Rajasthan - Pachpadra
1827,MADANPURI,Independent,788,Rajasthan - Pachpadra
1828,SURESH PAL,Bharatiya Yuva Shakti,640,Rajasthan - Pachpadra
1829,MANGILAL,Aam Aadmi Party,400,Rajasthan - Pachpadra
1830,BASANT SHARMA,Independent,314,Rajasthan - Pachpadra
1831,None of the Above,None of the Above,3260,Rajasthan - Pachpadra
1832,HAMEER SINGH BHAYAL,Bharatiya Janata Party,50657,Rajasthan - Siwana
1833,BALARAM,Independent,49700,Rajasthan - Siwana
1834,PANKAJ PRATAP SINGH,Indian National Congress,20145,Rajasthan - Siwana
1835,SATARAM,Rashtriya Loktantrik Party,19124,Rajasthan - Siwana
1836,SHEITAN SINGH,Independent,2806,Rajasthan - Siwana
1837,SUJARAM,Bahujan Samaj Party,2625,Rajasthan - Siwana
1838,KISHAN LAL,Shiv Sena,2555,Rajasthan - Siwana
1839,JABARA RAM PRAJAPAT,Aam Aadmi Party,2045,Rajasthan - Siwana
1840,PRAKASH,Independent,1985,Rajasthan - Siwana
1841,MOTI RAM MEGHWAL,Bahujan Mukti Party,1566,Rajasthan - Siwana
1842,KANTILAL,Independent,1513,Rajasthan - Siwana
1843,REWAT KUMAR,Independent,1108,Rajasthan - Siwana
1844,POPAT LAL,Independent,953,Rajasthan - Siwana
1845,DUNGAR SINGH ARTHANDI,Abhinav Rajasthan Party,775,Rajasthan - Siwana
1846,PARAS MAL,Independent,710,Rajasthan - Siwana
1847,MANOHAR SINGH,Rashtriya Samaj Paksha,564,Rajasthan - Siwana
1848,None of the Above,None of the Above,816,Rajasthan - Siwana
1849,HEMARAM CHOUDHARY,Indian National Congress,93433,Rajasthan - Gudhamalani
1850,LADU RAM,Bharatiya Janata Party,79869,Rajasthan - Gudhamalani
1851,VIJAY SINGH,Rashtriya Loktantrik Party,4461,Rajasthan - Gudhamalani
1852,HANUMAN CHOUDHARY,Aam Aadmi Party,3031,Rajasthan - Gudhamalani
1853,PAWAN KUMAR,Bahujan Samaj Party,2920,Rajasthan - Gudhamalani
1854,ADARAM MEGHWAL,Bahujan Mukti Party,2343,Rajasthan - Gudhamalani
1855,BHIKHARAM PRAJAPAT,Independent,1896,Rajasthan - Gudhamalani
1856,RAMARAM PRAJAPAT,Dalit Soshit Pichhara Varg  Adhikar Dal,534,Rajasthan - Gudhamalani
1857,LADHURAM BISHNOI,Naya Bharat Party,492,Rajasthan - Gudhamalani
1858,None of the Above,None of the Above,2012,Rajasthan - Gudhamalani
1859,PADMARAM,Indian National Congress,83601,Rajasthan - Chohtan 
1860,ADU RAM MEGHWAL,Bharatiya Janata Party,79339,Rajasthan - Chohtan 
1861,SURTA RAM MEGHWAL,Rashtriya Loktantrik Party,24036,Rajasthan - Chohtan 
1862,DHOORA RAM,Bharatiya Yuva Shakti,3625,Rajasthan - Chohtan 
1863,RAVINDRA KUMAR MEGHWAL,Bahujan Samaj Party,3314,Rajasthan - Chohtan 
1864,NAINARAM,Aam Aadmi Party,1810,Rajasthan - Chohtan 
1865,None of the Above,None of the Above,5391,Rajasthan - Chohtan 
1866,CHHAGANSINGH,Bharatiya Janata Party,74928,Rajasthan - Ahore
1867,SAVARAM PATEL,Indian National Congress,43880,Rajasthan - Ahore
1868,PANKAJ,Bahujan Samaj Party,22808,Rajasthan - Ahore
1869,JAGDISH CHOUDHARY,Independent,2684,Rajasthan - Ahore
1870,CHHAGNARAM,Hindustan Janta Party,1204,Rajasthan - Ahore
1871,MILAP CHAND JAIN,Independent,1091,Rajasthan - Ahore
1872,LAL CHAND,Independent,1021,Rajasthan - Ahore
1873,NIMBARAM,Independent,644,Rajasthan - Ahore
1874,BALWANT SINGH,Shiv Sena,311,Rajasthan - Ahore
1875,DINESH KUMAR,Aam Aadmi Party,255,Rajasthan - Ahore
1876,PRAKASH SINGH,Abhinav Rajasthan Party,189,Rajasthan - Ahore
1877,None of the Above,None of the Above,3111,Rajasthan - Ahore
1878,JOGESHWAR GARG,Bharatiya Janata Party,95086,Rajasthan - Jalore 
1879,MANJU MEGHWAL,Indian National Congress,59852,Rajasthan - Jalore 
1880,OM PRAKASH CHOUHAN,Bharat Vahini Party,2190,Rajasthan - Jalore 
1881,BHEEMARAM,Bahujan Mukti Party,1842,Rajasthan - Jalore 
1882,None of the Above,None of the Above,4130,Rajasthan - Jalore 
1883,POORARAM CHOUDHARY,Bharatiya Janata Party,78893,Rajasthan - Bhinmal
1884,SAMARJIT SINGH,Indian National Congress,69247,Rajasthan - Bhinmal
1885,RAMESH,Independent,13564,Rajasthan - Bhinmal
1886,KRISHAN KUMAR,Bahujan Samaj Party,6434,Rajasthan - Bhinmal
1887,NANDA DEVI,Aam Aadmi Party,5535,Rajasthan - Bhinmal
1888,REKHARAM,Independent,2055,Rajasthan - Bhinmal
1889,BHABHOOTA RAM CHOUDHARY,Independent,1297,Rajasthan - Bhinmal
1890,TEEKMA RAM BHATI,Independent,710,Rajasthan - Bhinmal
1891,FOJARAM,Bahujan Mukti Party,656,Rajasthan - Bhinmal
1892,POORAN SINGH,Abhinav Rajasthan Party,555,Rajasthan - Bhinmal
1893,KRISHAN KUMAR RAJPUROHIT,Independent,454,Rajasthan - Bhinmal
1894,None of the Above,None of the Above,3492,Rajasthan - Bhinmal
1895,SUKHRAM VISHNOI,Indian National Congress,84689,Rajasthan - Sanchore
1896,DANA RAM CHOUDHARY,Bharatiya Janata Party,58771,Rajasthan - Sanchore
1897,JIVARAM CHOUDHARY,Independent,49693,Rajasthan - Sanchore
1898,RAMESH KUMAR,Bahujan Samaj Party,22496,Rajasthan - Sanchore
1899,AMBARAM,Bahujan Mukti Party,1862,Rajasthan - Sanchore
1900,MASARARAM,Independent,1703,Rajasthan - Sanchore
1901,SHANKAR LAL DARJI,Independent,1617,Rajasthan - Sanchore
1902,DINESH SINGH,Independent,1217,Rajasthan - Sanchore
1903,SAWAI SINGH,Aam Aadmi Party,706,Rajasthan - Sanchore
1904,BHARAT KUMAR,Shiv Sena,575,Rajasthan - Sanchore
1905,GAJENDRA SINGH,Bharat Vahini Party,457,Rajasthan - Sanchore
1906,PURARAM SUTHAR,Rashtriya Sarvjan Vikas Party,373,Rajasthan - Sanchore
1907,DR. BUDHARAM VISHNOI,Abhinav Rajasthan Party,372,Rajasthan - Sanchore
1908,None of the Above,None of the Above,3209,Rajasthan - Sanchore
1909,NARAYAN SINGH DEWAL,Bharatiya Janata Party,88887,Rajasthan - Raniwara
1910,RATAN,Indian National Congress,85482,Rajasthan - Raniwara
1911,POPAT LAL MEGHWAL,Bahujan Samaj Party,2675,Rajasthan - Raniwara
1912,BABU LAL,Aam Aadmi Party,2195,Rajasthan - Raniwara
1913,BHARAT KUMAR MEGHWAL,Independent,1876,Rajasthan - Raniwara
1914,LAKHARAM,Independent,869,Rajasthan - Raniwara
1915,AMARA RAM DEWASI,Independent,630,Rajasthan - Raniwara
1916,None of the Above,None of the Above,3148,Rajasthan - Raniwara
1917,SANYAM LODHA,Independent,81272,Rajasthan - Sirohi
1918,OTARAM DEVASI,Bharatiya Janata Party,71019,Rajasthan - Sirohi
1919,JIVA RAM ARYA,Indian National Congress,14656,Rajasthan - Sirohi
1920,TEJRAJ SOLANKI,Independent,1966,Rajasthan - Sirohi
1921,DEEPA RAJGURU,Hindusthan Nirman Dal,1790,Rajasthan - Sirohi
1922,BHERA RAM BARAR (MEGHWAL),Independent,1184,Rajasthan - Sirohi
1923,HAJA RAM MEGHWAL,Independent,1176,Rajasthan - Sirohi
1924,SHANKAR SINGH,Bahujan Samaj Party,899,Rajasthan - Sirohi
1925,ASLAMKHAN,Independent,449,Rajasthan - Sirohi
1926,PRABHU SINGH,Abhinav Rajasthan Party,446,Rajasthan - Sirohi
1927,TRIKMA RAM,Independent,261,Rajasthan - Sirohi
1928,HIMMAT MAL SOLANKI,Shiv Sena,237,Rajasthan - Sirohi
1929,KALU RAM,Independent,235,Rajasthan - Sirohi
1930,PINTU KUMAR,Aam Aadmi Party,166,Rajasthan - Sirohi
1931,PAPI DAVI,Bharatiya Yuva Shakti,107,Rajasthan - Sirohi
1932,None of the Above,None of the Above,2621,Rajasthan - Sirohi
1933,SAMA RAM GRASIYA,Bharatiya Janata Party,69360,Rajasthan - Pindwara abu 
1934,LALA RAM GRASIYA,Indian National Congress,42386,Rajasthan - Pindwara abu 
1935,MAGAN LAL,Shiv Sena,6658,Rajasthan - Pindwara abu 
1936,GOURI SHANKAR,Bhartiya Tribal Party,5137,Rajasthan - Pindwara abu 
1937,RATARAM,Independent,3983,Rajasthan - Pindwara abu 
1938,REVAT KUMAR,Independent,2650,Rajasthan - Pindwara abu 
1939,DALPATRAM,Bahujan Samaj Party,2208,Rajasthan - Pindwara abu 
1940,KESARMAL,Independent,1549,Rajasthan - Pindwara abu 
1941,KAPOORA RAM MEENA,Independent,918,Rajasthan - Pindwara abu 
1942,None of the Above,None of the Above,4702,Rajasthan - Pindwara abu 
1943,JAGASI RAM,Bharatiya Janata Party,87861,Rajasthan - Reodar 
1944,NEERAJ DANGI,Indian National Congress,73257,Rajasthan - Reodar 
1945,NARAYAN LAL,Independent,3328,Rajasthan - Reodar 
1946,RADHESHYAM,Bahujan Samaj Party,2395,Rajasthan - Reodar 
1947,SUKHRAJ,Aam Aadmi Party,1817,Rajasthan - Reodar 
1948,HEERA LAL,Shiv Sena,1342,Rajasthan - Reodar 
1949,SHIVLAL JEENGAR,Bharatiya Yuva Shakti,712,Rajasthan - Reodar 
1950,None of the Above,None of the Above,6108,Rajasthan - Reodar 
1951,PRATAP LAL BHEEL (GAMETI),Bharatiya Janata Party,82307,Rajasthan - Gogunda 
1952,DR. MANGI LAL GARASIYA,Indian National Congress,77896,Rajasthan - Gogunda 
1953,LAHARA BHIL,Communist Party of India,4364,Rajasthan - Gogunda 
1954,CHAMPARAM,Bahujan Samaj Party,3700,Rajasthan - Gogunda 
1955,BATTI LAL MEENA,Independent,3272,Rajasthan - Gogunda 
1956,BIRDHI LAL CHHANWAL,Independent,2405,Rajasthan - Gogunda 
1957,PRAKASH KUMAR,Janta Sena Rajasthan,1457,Rajasthan - Gogunda 
1958,REKHA BHEEL,Aam Aadmi Party,877,Rajasthan - Gogunda 
1959,None of the Above,None of the Above,4169,Rajasthan - Gogunda 
1960,BABU LAL,Bharatiya Janata Party,87527,Rajasthan - Jhadol  
1961,SUNIL KUMAR BHAJAT,Indian National Congress,74580,Rajasthan - Jhadol  
1962,SHANKAR LAL PARGI,Communist Party of India  (Marxist),10498,Rajasthan - Jhadol  
1963,SOHAN LAL,Independent,6209,Rajasthan - Jhadol  
1964,NIMA LAL,Bahujan Samaj Party,5757,Rajasthan - Jhadol  
1965,LADURAM,Aam Aadmi Party,4584,Rajasthan - Jhadol  
1966,None of the Above,None of the Above,7457,Rajasthan - Jhadol  
1967,DAYARAM PARMAR,Indian National Congress,93155,Rajasthan - Kherwara 
1968,NANALAL AHARI,Bharatiya Janata Party,68164,Rajasthan - Kherwara 
1969,PRAVEEN KUMAR PARMAR,Bhartiya Tribal Party,20383,Rajasthan - Kherwara 
1970,SAVITA,Bahujan Samaj Party,2470,Rajasthan - Kherwara 
1971,SAVITA PARMAR,Aam Aadmi Party,2206,Rajasthan - Kherwara 
1972,None of the Above,None of the Above,5899,Rajasthan - Kherwara 
1973,PHOOL SINGH MEENA,Bharatiya Janata Party,97382,Rajasthan - Udaipur Rural
1974,VIVEK KATARA,Indian National Congress,78675,Rajasthan - Udaipur Rural
1975,GHANSHYAM SINGH TAWAR,Communist Party of India,4055,Rajasthan - Udaipur Rural
1976,PRABHU LAL MEENA,Bahujan Mukti Party,2092,Rajasthan - Udaipur Rural
1977,LAXMAN,Bahujan Samaj Party,1737,Rajasthan - Udaipur Rural
1978,SOMESHWER MEENA,Janta Sena Rajasthan,1521,Rajasthan - Udaipur Rural
1979,None of the Above,None of the Above,4108,Rajasthan - Udaipur Rural
1980,GULAB CHAND KATARIA,Bharatiya Janata Party,74660,Rajasthan - Udaipur
1981,GIRIJA VYAS,Indian National Congress,65353,Rajasthan - Udaipur
1982,PRAVEEN RATLIA,Independent,10890,Rajasthan - Udaipur
1983,DALPAT SINGH SURANA,Janta Sena Rajasthan,3741,Rajasthan - Udaipur
1984,BHARAT KUMAWAT,Aam Aadmi Party,531,Rajasthan - Udaipur
1985,PUSHKAR LAL,Bahujan Samaj Party,465,Rajasthan - Udaipur
1986,RAJESH VAISHNAV,Independent,385,Rajasthan - Udaipur
1987,DIMPLE RATHORE,Shiv Sena,220,Rajasthan - Udaipur
1988,RAMCHANDRA SALVI,Janata Dal  (Secular),137,Rajasthan - Udaipur
1989,DAULAT RAM SAHU,Independent,132,Rajasthan - Udaipur
1990,KALU LAL SALVI,Independent,106,Rajasthan - Udaipur
1991,None of the Above,None of the Above,2051,Rajasthan - Udaipur
1992,DHARMNARAYAN JOSHI,Bharatiya Janata Party,99723,Rajasthan - Mavli
1993,PUSHKAR LAL DANGI,Indian National Congress,72745,Rajasthan - Mavli
1994,JEEVRAJ,Communist Party of India,2167,Rajasthan - Mavli
1995,CHUNNILAL,Bahujan Samaj Party,2086,Rajasthan - Mavli
1996,TULSIRAM BHIL,Rajasthan Janta Party,1843,Rajasthan - Mavli
1997,VIJAY SHARMA,Bharat Vahini Party,1750,Rajasthan - Mavli
1998,MADAN LAL,Shiv Sena,1291,Rajasthan - Mavli
1999,DEVI LAL GAYRI,Independent,861,Rajasthan - Mavli
2000,PREM SHANKAR,Aam Aadmi Party,621,Rajasthan - Mavli
2001,None of the Above,None of the Above,2919,Rajasthan - Mavli
2002,GAJENDRA SINGH SHAKTAWAT,Indian National Congress,66306,Rajasthan - Vallabh Nagar
2003,M. RANDHIR SINGH BHINDER,Janta Sena Rajasthan,62587,Rajasthan - Vallabh Nagar
2004,UDAI LAL DANGI,Bharatiya Janata Party,46667,Rajasthan - Vallabh Nagar
2005,BABARU MEENA,Independent,4538,Rajasthan - Vallabh Nagar
2006,MUKESH,Bahujan Samaj Party,2366,Rajasthan - Vallabh Nagar
2007,DUDA DANGI,Independent,1406,Rajasthan - Vallabh Nagar
2008,PANNA LAL,Shiv Sena,1366,Rajasthan - Vallabh Nagar
2009,None of the Above,None of the Above,2813,Rajasthan - Vallabh Nagar
2010,AMRIT LAL MEENA,Bharatiya Janata Party,87472,Rajasthan - Salumber 
2011,RAGUVIR SINGH,Indian National Congress,65554,Rajasthan - Salumber 
2012,RESHMA MEENA,Independent,14329,Rajasthan - Salumber 
2013,GOVIND KALASUYA,Communist Party of India,3562,Rajasthan - Salumber 
2014,LALURAM BHIL,All India Hindustan Congress Party,2891,Rajasthan - Salumber 
2015,SOMA LAL MEENA,Bahujan Samaj Party,2495,Rajasthan - Salumber 
2016,LAL CHAND MEENA,Bharatiya Yuva Shakti,628,Rajasthan - Salumber 
2017,GANGA DEVI,Janta Sena Rajasthan,606,Rajasthan - Salumber 
2018,LAXMAN LAL,Shiv Sena,586,Rajasthan - Salumber 
2019,DEVI LAL MEENA,Communist Party of India  (Marxist-Leninist)  (Liberation),535,Rajasthan - Salumber 
2020,None of the Above,None of the Above,5561,Rajasthan - Salumber 
2021,GOTAM LAL,Bharatiya Janata Party,96457,Rajasthan - Dhariyawad  
2022,NAGRAJ,Indian National Congress,72615,Rajasthan - Dhariyawad  
2023,BHAGWAN LAL,Communist Party of India,5280,Rajasthan - Dhariyawad  
2024,KESULAL,Bahujan Samaj Party,4465,Rajasthan - Dhariyawad  
2025,BHERU LAL,Bhartiya Tribal Party,4406,Rajasthan - Dhariyawad  
2026,GAUTAMA LAL MEENA,Communist Party of India  (Marxist-Leninist)  (Liberation),2124,Rajasthan - Dhariyawad  
2027,SHANKER LAL,Bharatiya Yuva Shakti,2117,Rajasthan - Dhariyawad  
2028,NAGENDRA,Janta Sena Rajasthan,1044,Rajasthan - Dhariyawad  
2029,None of the Above,None of the Above,5769,Rajasthan - Dhariyawad  
2030,GANESH GHOGRA,Indian National Congress,75482,Rajasthan - Dungarpur 
2031,MADHAVLAL VARAHAT,Bharatiya Janata Party,47584,Rajasthan - Dungarpur 
2032,VELARAM,Bhartiya Tribal Party,13004,Rajasthan - Dungarpur 
2033,DEVENDRA KATARA,Independent,8633,Rajasthan - Dungarpur 
2034,GOTAMLAL,Communist Party of India  (Marxist),7644,Rajasthan - Dungarpur 
2035,AMRUTLAL,Bahujan Samaj Party,3464,Rajasthan - Dungarpur 
2036,MAYA,All India Hindustan Congress Party,2367,Rajasthan - Dungarpur 
2037,None of the Above,None of the Above,4720,Rajasthan - Dungarpur 
2038,GOPICHAND MEENA,Bharatiya Janata Party,57062,Rajasthan - Aspur 
2039,UMESH,Bhartiya Tribal Party,51732,Rajasthan - Aspur 
2040,RAIYA MEENA,Indian National Congress,42185,Rajasthan - Aspur 
2041,SHANTA KALASUA,Bahujan Samaj Party,2996,Rajasthan - Aspur 
2042,SHIVLAL MAIDA,Independent,2121,Rajasthan - Aspur 
2043,DEVILAL MEENA,Bharatiya Yuva Shakti,1942,Rajasthan - Aspur 
2044,None of the Above,None of the Above,4426,Rajasthan - Aspur 
2045,RAMPRASAD,Bhartiya Tribal Party,58406,Rajasthan - Sagwara 
2046,SHANKARLAL,Bharatiya Janata Party,53824,Rajasthan - Sagwara 
2047,SURENDRA KUMAR,Indian National Congress,41852,Rajasthan - Sagwara 
2048,ANITA,Independent,10140,Rajasthan - Sagwara 
2049,DALJI,Bahujan Samaj Party,4173,Rajasthan - Sagwara 
2050,MAN SINGH,Independent,2181,Rajasthan - Sagwara 
2051,None of the Above,None of the Above,3313,Rajasthan - Sagwara 
2052,RAJKUMAR ROAT,Bhartiya Tribal Party,64119,Rajasthan - Chorasi 
2053,SUSHIL KATARA,Bharatiya Janata Party,51185,Rajasthan - Chorasi 
2054,MANJULA DEVI ROAT,Indian National Congress,35915,Rajasthan - Chorasi 
2055,JAYPRAKASH ROAT,Independent,2314,Rajasthan - Chorasi 
2056,KANHAIYALAL KALASUA,Bahujan Mukti Party,2180,Rajasthan - Chorasi 
2057,VIJAYAPAL ROAT,Bahujan Samaj Party,2047,Rajasthan - Chorasi 
2058,NITESH PARMAR,Naya Bharat Party,1800,Rajasthan - Chorasi 
2059,KANTILAL BHAMAT,Independent,1796,Rajasthan - Chorasi 
2060,LAXMAN DAMOR,Independent,1733,Rajasthan - Chorasi 
2061,None of the Above,None of the Above,4692,Rajasthan - Chorasi 
2062,HARENDRA NINAMA,Bharatiya Janata Party,101121,Rajasthan - Ghatol 
2063,NANALAL NINAMA,Indian National Congress,96672,Rajasthan - Ghatol 
2064,NARESH KUMAR,Bhartiya Tribal Party,4660,Rajasthan - Ghatol 
2065,NAVNEET LAL NINAMA,Independent,3899,Rajasthan - Ghatol 
2066,LAKSHAMAN,Bahujan Samaj Party,3135,Rajasthan - Ghatol 
2067,BAPUDA NINAMA,Independent,1636,Rajasthan - Ghatol 
2068,MADAN LAL,Independent,1371,Rajasthan - Ghatol 
2069,NATHU LAL,Janata Dal  (United),912,Rajasthan - Ghatol 
2070,None of the Above,None of the Above,4857,Rajasthan - Ghatol 
2071,KAILASH CHANDRA MEENA,Bharatiya Janata Party,99350,Rajasthan - Garhi 
2072,KANTA BHIL,Indian National Congress,74949,Rajasthan - Garhi 
2073,RAJU,Bhartiya Tribal Party,23093,Rajasthan - Garhi 
2074,CHETAN,Bahujan Samaj Party,2618,Rajasthan - Garhi 
2075,DEVILAL DAMOR,Aam Aadmi Party,1159,Rajasthan - Garhi 
2076,None of the Above,None of the Above,4619,Rajasthan - Garhi 
2077,ARJUN SINGH BAMNIYA,Indian National Congress,88447,Rajasthan - Banswara 
2078,HAKRU MAIDA,Bharatiya Janata Party,70081,Rajasthan - Banswara 
2079,DHAN SINGH RAWAT,Independent,32950,Rajasthan - Banswara 
2080,DHIRAJMAL DINDOR,Janata Dal  (United),5009,Rajasthan - Banswara 
2081,SHANTA,Bahujan Samaj Party,2223,Rajasthan - Banswara 
2082,RUPCHAND RAWAT,Independent,1258,Rajasthan - Banswara 
2083,None of the Above,None of the Above,3910,Rajasthan - Banswara 
2084,MAHENDRAJEET SINGH MALVIYA,Indian National Congress,97638,Rajasthan - Bagidora 
2085,KHEMRAJ GARASIYA,Bharatiya Janata Party,76328,Rajasthan - Bagidora 
2086,KAMALKANT KATARA,Bhartiya Tribal Party,9538,Rajasthan - Bagidora 
2087,RATAN,Bahujan Samaj Party,3309,Rajasthan - Bagidora 
2088,JAHU,Independent,2837,Rajasthan - Bagidora 
2089,KAMALKISHOR PARGI,Independent,1364,Rajasthan - Bagidora 
2090,VALARAM,Janata Dal  (United),1267,Rajasthan - Bagidora 
2091,None of the Above,None of the Above,5581,Rajasthan - Bagidora 
2092,RAMILA KHADIYA,Independent,94344,Rajasthan - Kushalgarh 
2093,BHIMA BHAI,Bharatiya Janata Party,75394,Rajasthan - Kushalgarh 
2094,CHAGAN,Bahujan Samaj Party,6016,Rajasthan - Kushalgarh 
2095,DEVCHAND MAVI,Independent,3011,Rajasthan - Kushalgarh 
2096,DINESH,Abhinav Rajasthan Party,2527,Rajasthan - Kushalgarh 
